DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
102,5.6,9.4,12.8,13.3,21.1,26.1,9.75,15.55,19.45,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
103,6.1,9.4,14.4,13.3,20.0,29.4,10.3,13.600000000000001,21.1,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
104,4.4,8.9,16.7,13.3,20.6,27.8,9.4,14.75,22.25,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
105,3.3,8.9,16.1,13.9,20.0,28.3,10.25,14.75,22.200000000000003,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0
106,5.0,8.9,15.6,12.8,21.7,29.4,9.45,14.149999999999999,21.65,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
107,4.4,7.8,15.6,13.3,20.6,26.1,8.85,13.850000000000001,20.55,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
108,3.9,8.3,13.9,10.6,21.1,29.4,8.049999999999999,14.2,20.85,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
109,4.4,10.0,15.6,13.9,20.6,28.9,10.55,15.799999999999999,23.05,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
110,5.6,11.1,16.7,16.7,21.7,27.8,11.95,16.35,21.4,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
111,5.6,9.4,14.4,14.4,20.0,27.2,11.399999999999999,15.799999999999999,20.55,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
